epoch,train_nll,val_nll
55,-6.3092675844828285,-7.513340473175049
56,-7.619941727320353,-7.931475979941232
57,-7.477469348907471,-7.687178475516183
58,-7.50289355913798,-7.708221026829311
59,-7.312846422195435,-7.679333346230643
60,-7.623306767145793,-5.9817682674952914
61,-7.319519583384196,-7.865591185433524
62,-7.703320519129435,-8.245141506195068
63,-7.867028554280599,-7.269001688276019
64,-7.410701402028402,-7.480841977255685
65,-7.471100091934204,-7.226976462772915
66,-7.7582723299662275,-8.603009496416364
67,-7.635713243484497,-7.803973470415388
68,-6.975337251027425,-7.053460938589914
69,-7.350148836771647,-7.99845518384661
70,-8.026078859965006,-8.353922639574323
71,-8.310255638758342,-8.241666930062431
72,-8.165957975387574,-9.166647911071777
73,-7.53582337697347,-8.250621523175921
74,-8.373902606964112,-8.506202152797155
75,-8.03546781539917,-7.930474213191441
76,-8.230944236119589,-8.621419497898646
77,-8.126162989934285,-8.536257880074638
78,-8.079000314076742,-8.622384343828474
79,-8.414509709676107,-8.812354360307966
80,-8.710601218541463,-9.175935881478447
81,-8.672831344604493,-9.099234989711217
82,-8.239891036351521,-7.867756911686489
83,-8.193166700998942,-9.082784516470772
84,-8.80693113009135,-9.076151984078544
85,-8.716504907608032,-8.46263040815081
86,-8.95815585454305,-8.68441390991211
87,-8.159566863377888,-8.64599609375
88,-8.072500928243,-8.010211876460485
89,-8.352061096827189,-9.128306252615792
90,-9.029500007629395,-9.439913068498884
91,-9.045691633224488,-8.698825291224889
92,-7.873817189534505,-7.880304949624198
93,-8.418005959192913,-8.734105927603585
94,-9.094174830118815,-9.74904796055385
95,-8.572293186187744,-8.794926370893206
96,-9.117333634694416,-9.69103581564767
97,-8.729019498825073,-10.037293297903878
98,-8.77326963742574,-7.624103818620954
99,-8.801346397399902,-9.108221871512276
100,-9.199906317392985,-9.288475581577845
101,-9.372159385681153,-9.221559660775322
102,-9.313335609436034,-8.696625982012067
103,-9.452321434020996,-9.354831559317452
104,-9.394304911295572,-10.049581800188337
105,-9.534054311116536,-10.493148531232562
106,-9.605344518025715,-8.902955191476005
107,-8.495776096979776,-9.521964754377093
108,-9.50062017440796,-10.026084218706403
109,-9.138445552190145,-9.514175278799874
110,-9.050778452555338,-9.742633819580078
111,-9.371483675638835,-8.625616822923933
112,-9.248442141215007,-10.263485363551549
113,-9.771389929453532,-9.878620556422643
114,-9.862905597686767,-10.116278648376465
115,-9.360619115829468,-10.224599020821708
116,-9.845336310068767,-9.9576815196446
117,-10.168747011820475,-10.296169008527484
118,-10.070686372121175,-10.095011166163854
119,-9.698531754811604,-7.810996873038156
120,-9.536700884501139,-10.771756853376116
121,-9.67533934911092,-9.821622984749931
122,-9.98840176264445,-10.436294555664062
123,-10.277490234375,-11.003094945635114
124,-9.90300531387329,-10.599820681980678
125,-9.618250783284505,-9.8513092313494
126,-10.014879608154297,-10.498228073120117
127,-9.832719548543293,-10.296872683933803
128,-10.13732878367106,-9.944888932364327
129,-10.207286993662516,-10.176610810416085
130,-10.143257999420166,-9.886152403695244
131,-9.929774697621664,-10.523317881992885
132,-8.943902619679768,-8.879736491612025
133,-9.562853574752808,-10.663322584969658
134,-10.3387193997701,-10.157090868268694
135,-10.2055269241333,-10.761839594159808
136,-9.873480542500813,-10.470636231558663
137,-10.251066207885742,-10.511958394731794
138,-10.345373217264811,-10.21195616040911
139,-10.376608403523763,-11.194514410836357
140,-10.438540426890055,-10.77942602975028
141,-10.051793146133424,-10.758851868765694
142,-10.060458246866862,-10.385072980608259
143,-10.583174959818523,-10.216385432652064
144,-10.493490950266521,-10.505721637180873
145,-10.673358949025472,-10.593444006783622
146,-10.25827760696411,-10.444711412702288
147,-10.164669768015544,-9.569656644548688
148,-10.491553688049317,-11.21792357308524
149,-10.543302567799886,-11.367359297616142
150,-10.602249272664388,-11.340744972229004
151,-10.417359606424968,-10.963100705827985
152,-10.008993212381998,-8.98385660988944
153,-10.468848037719727,-10.747324534824916
154,-10.81368408203125,-10.866738455636161
155,-10.976008383433024,-11.270872661045619
156,-11.025662835439046,-11.561959130423409
157,-10.32415812810262,-11.195402009146553
158,-10.895084794362386,-11.654472759791783
159,-10.953277238210042,-11.614422525678362
160,-10.276198879877727,-10.935426439557757
161,-10.662618160247803,-11.330672536577497
162,-10.973825391133627,-11.390707015991211
163,-10.815513960520427,-11.165176255362374
164,-10.694751930236816,-10.707265172685895
165,-10.541850980122884,-10.989830698285784
166,-10.870639419555664,-11.292961938040596
167,-11.05189307530721,-10.921857970101494
168,-11.010759003957112,-11.529024941580635
169,-11.068841234842937,-11.322116306849889
170,-10.709139442443847,-9.878769329616002
171,-10.74968957901001,-10.327669143676758
172,-10.319206174214681,-11.254782404218401
173,-10.943447875976563,-11.180627959115165
174,-11.095447635650634,-11.647345270429339
175,-10.85173381169637,-10.460202625819615
