epoch,train_nll,val_nll
1,1.328945971528689,0.6482165285519191
2,0.6467741941412289,0.7371955301080432
3,0.3238910572603345,-0.15961712811674392
4,-0.2545435483256976,-0.5615685731172562
5,-0.6390602890402078,-0.6828723485980716
6,-0.8434103180964788,-0.829851529427937
7,-1.0375556806723276,-0.9415507231439862
8,-1.0393287976582846,-0.8341789969376155
9,-1.1682732333739598,-1.179216172013964
10,-1.2036824266115824,-1.2395642399787903
11,-1.279114152987798,-1.5357911075864519
12,-1.3530270864566167,-1.4810249507427216
13,-1.4755252122879028,-1.4412522401128496
14,-1.7385121822357177,-1.724021349634443
15,-1.9803116162618002,-2.117053542818342
16,-2.4503320336341856,-2.564113140106201
17,-2.4440462867418926,-2.292532205581665
18,-2.426129901409149,-2.4950087751661028
19,-2.5254297494888305,-2.5309611558914185
20,-2.9776962200800576,-2.8409029756273543
21,-3.274629275004069,-2.5154811314174106
22,-3.2550788362820944,-2.770841189793178
23,-3.2553509056568144,-2.8418045895440236
24,-3.8735949118932087,-4.083049161093576
25,-3.669807211558024,-2.922879082815988
26,-3.836497449874878,-3.7480231693812778
27,-4.007023763656616,-4.388134070805141
28,-3.803192921479543,-4.159490006310599
29,-4.025974313418071,-3.7848253590720042
30,-4.2446373780568445,-4.431883232934134
31,-4.24527546564738,-3.742703982761928
32,-4.487261366844177,-4.3406422819410055
33,-4.774819366137186,-4.309494733810425
34,-4.926654116312663,-5.007955891745431
35,-5.246949768066406,-5.350167001996722
36,-5.233130204677582,-5.406685011727469
37,-5.071300506591797,-4.431378160204206
38,-4.966405264536539,-5.666225705827985
39,-5.646072705586751,-5.979214191436768
40,-5.794012196858724,-6.008642605372837
41,-6.0544949213663735,-6.193089621407645
42,-6.268792963027954,-6.543999808175223
43,-5.7726095388333,-6.059293815067837
44,-6.576198673248291,-6.811880724770682
45,-6.582648372650146,-6.803961753845215
46,-6.533067353566488,-5.760041509355817
47,-5.850959658622742,-6.626809120178223
48,-6.133934680620829,-6.64011423928397
49,-6.196569124857585,-6.715231554848807
50,-6.791960159937541,-6.97013875416347
51,-7.156961758931478,-5.991618633270264
52,-6.416939036051432,-7.146003246307373
53,-6.5584866841634115,-7.447220802307129
54,-6.512880790233612,-5.664738586970738
